station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LTAP,2024-06-03 11:20,35.5833,40.8500,535.00,91.40,50.00,24.37,40.00,7.00,0.00,30.00,,6.21,,FEW,,,,4000.00,,,,,,,,,,,88.36,LTAP 031120Z 04007KT 350V100 9999 FEW040 33/10 Q1016 NOSIG RMK RWY23 05006KT 350V100,
LTAP,2024-06-03 11:50,35.5833,40.8500,535.00,89.60,50.00,25.79,50.00,8.00,0.00,30.00,,6.21,,FEW,,,,4000.00,,,,,,,,,,,86.70,LTAP 031150Z 05008KT 010V090 9999 FEW040 32/10 Q1016 NOSIG RMK RWY23 05010KT 360V080,
LTAP,2024-06-03 12:20,35.5833,40.8500,535.00,89.60,50.00,25.79,20.00,9.00,0.00,30.00,,6.21,,FEW,,,,4000.00,,,,,,,,,,,86.70,LTAP 031220Z 02009KT 340V050 9999 FEW040 32/10 Q1016 NOSIG RMK RWY23 02010KT,
LTAP,2024-06-03 12:50,35.5833,40.8500,535.00,89.60,53.60,29.45,360.00,8.00,0.00,30.00,,6.21,,SCT,,,,4000.00,,,,,,,,,,,87.36,LTAP 031250Z 36008KT 330V040 9999 SCT040 32/12 Q1016 NOSIG RMK RWY23 02007KT 330V060,
LTAP,2024-06-03 13:20,35.5833,40.8500,535.00,87.80,55.40,33.29,10.00,9.00,0.00,30.00,,6.21,,SCT,,,,4000.00,,,,,,,,,,,86.11,LTAP 031320Z 01009KT 350V060 9999 SCT040 31/13 Q1016 NOSIG RMK RWY23 05012KT,
LTAP,2024-06-03 13:50,35.5833,40.8500,535.00,87.80,53.60,31.17,50.00,11.00,0.00,30.00,,6.21,,SCT,,,,4000.00,,,,,,,,,,,85.72,LTAP 031350Z 05011KT 9999 SCT040 31/12 Q1016 NOSIG RMK RWY23 06010KT,
LTAP,2024-06-03 14:20,35.5833,40.8500,535.00,87.80,55.40,33.29,40.00,10.00,0.00,30.00,,6.21,,SCT,,,,4000.00,,,,,,,,,,,86.11,LTAP 031420Z 04010KT 010V080 9999 SCT040 31/13 Q1016 NOSIG RMK RWY23 07012KT,
LTAP,2024-06-03 14:50,35.5833,40.8500,535.00,87.80,55.40,33.29,50.00,10.00,0.00,29.97,,6.21,,FEW,,,,4000.00,,,,,,,,,,,86.11,LTAP 031450Z 05010KT 9999 FEW040 31/13 Q1015 NOSIG RMK RWY23 06010KT,
LTAP,2024-06-03 15:20,35.5833,40.8500,535.00,86.00,53.60,33.01,30.00,12.00,0.00,30.00,,6.21,,FEW,,,,4000.00,,,,,,,,,,,84.18,LTAP 031520Z 03012KT 9999 FEW040 30/12 Q1016 NOSIG RMK RWY23 04012KT,
LTAP,2024-06-03 15:50,35.5833,40.8500,535.00,82.40,55.40,39.58,30.00,14.00,0.00,30.00,,6.21,,FEW,,,,4000.00,,,,,,,,,,,81.75,LTAP 031550Z 03014KT 9999 FEW040 28/13 Q1016 NOSIG RMK RWY23 04014KT,
LTAP,2024-06-03 16:20,35.5833,40.8500,535.00,80.60,57.20,44.80,30.00,13.00,0.00,30.00,,6.21,,FEW,,,,4000.00,,,,,,,,,,,80.81,LTAP 031620Z 03013KT 9999 FEW040 27/14 Q1016 NOSIG RMK RWY23 03013KT,
