station,valid,temp,dewp,feel,relh,drct,sknt,p01i,alti,vsby,gust,skyc,wxcodes,wxrain,wxstorm,wxsnow,wxfog,wxviscinity
LTAF,1698600000,23.0,15.0,23.0,60.67,0.0,0.0,0.0,29.91,6.21,0.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTAF,1698601800,22.0,15.0,22.0,64.48,0.0,2.0,0.0,29.94,6.21,2.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFJ,1698603600,19.0,17.0,19.0,88.18,60.0,11.0,0.0,30.06,6.21,11.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFJ,1698605400,19.0,17.0,19.0,88.18,50.0,10.0,0.0,30.09,6.21,10.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFJ,1698607200,19.0,17.0,19.0,88.18,50.0,9.0,0.0,30.09,6.21,9.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
