station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,vsby,gust,skyc,wxcodes,feel
HESH,1724500800,98.6,68.0,37.17,30.0,8.0,0.0,29.68,6.21,8.0,100000.0,CLEAR,104.22
HESH,1724504400,98.6,68.0,37.17,20.0,10.0,0.0,29.68,6.21,10.0,100000.0,CLEAR,104.22
LTAC,1724509200,75.2,53.6,46.98,40.0,18.0,0.0,29.97,6.21,18.0,100000.0,CLEAR,75.2
LTAC,1724511000,75.2,53.6,46.98,40.0,12.0,0.0,29.97,6.21,12.0,100000.0,CLEAR,75.2
LTAC,1724512800,75.2,51.8,43.97,50.0,10.0,0.0,29.97,6.21,10.0,100000.0,CLEAR,75.2
