station,valid,temp,dewp,feel,relh,drct,sknt,p01i,alti,vsby,gust,skyc,wxcodes,wxrain,wxstorm,wxsnow,wxfog,wxviscinity
LTFM,1705499400,10.0,7.0,10.0,81.61,220.0,11.0,0.0,30.06,6.21,11.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFM,1705501200,10.0,7.0,10.0,81.61,210.0,7.0,0.0,30.06,6.21,7.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFM,1705503000,9.0,7.0,6.71,87.28,210.0,8.0,0.0,30.06,6.21,8.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTAF,1705504800,13.0,12.0,13.0,93.65,80.0,6.0,0.0,30.09,3.73,6.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTAF,1705505880,13.0,12.0,13.0,93.65,70.0,5.0,0.0,30.09,3.04,5.0,100000.0,BR,0.0,0.0,0.0,2.0,0.0
LTAF,1705506600,12.0,11.0,12.0,93.6,60.0,5.0,0.0,30.09,2.98,5.0,100000.0,BR,0.0,0.0,0.0,2.0,0.0
