station,valid,temp,dewp,feel,relh,drct,sknt,p01i,alti,vsby,gust,skyc,wxcodes,wxrain,wxstorm,wxsnow,wxfog,wxviscinity
LTFM,1743171600,11.0,9.0,11.0,87.47,350.0,13.0,0.0,29.65,4.97,13.0,2500.0,-TSRA,1.5,1.0,0.0,0.0,0.0
LTFM,1743173400,10.0,9.0,10.0,93.5,360.0,10.0,0.0,29.68,6.21,10.0,2500.0,-SHRA,0.5,0.0,0.0,0.0,0.0
LTAP,1743173400,24.0,8.0,24.0,35.94,10.0,3.0,0.0,29.71,6.21,3.0,20000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTAP,1743177000,21.0,8.0,21.0,43.13,340.0,4.0,0.0,29.68,6.21,4.0,20000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
