station,valid,temp,dewp,feel,relh,drct,sknt,p01i,alti,vsby,gust,skyc,wxcodes,wxrain,wxstorm,wxsnow,wxfog,wxviscinity
LTAP,1743953820,13.0,7.0,13.0,66.91,240.0,18.0,0.0,29.77,6.21,18.0,4000.0,-SHRA,0.5,0.0,0.0,0.0,0.0
LTAP,1743954600,12.0,6.0,12.0,66.7,240.0,15.0,0.0,29.74,6.21,15.0,4000.0,-SHRA,0.5,0.0,0.0,0.0,0.0
LTAP,1743955980,12.0,6.0,12.0,66.7,240.0,10.0,0.0,29.74,6.21,10.0,4000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTAP,1743958200,11.0,6.0,11.0,71.26,220.0,3.0,0.0,29.77,6.21,3.0,10000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFM,1743960000,7.0,5.0,2.28,87.09,40.0,19.0,0.0,29.88,4.97,19.0,2100.0,-SHRA,0.5,0.0,0.0,0.0,0.0
LTFM,1743961800,7.0,4.0,2.69,81.2,40.0,16.0,0.0,29.88,3.73,16.0,2100.0,-SHRA,0.5,0.0,0.0,0.0,0.0
LTFM,1743963600,6.0,5.0,1.39,93.3,30.0,16.0,0.0,29.91,4.35,16.0,1100.0,-SHRA,0.5,0.0,0.0,0.0,0.0
LTFM,1743965400,6.0,4.0,1.39,86.99,40.0,16.0,0.0,29.91,4.35,16.0,1100.0,-SHRA,0.5,0.0,0.0,0.0,0.0
