station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,vsby,gust,skyc,wxcodes,feel
LTFM,1720846200,78.8,73.4,83.55,30.0,12.0,0.0,29.8,6.21,12.0,2300.0,CLEAR,78.8
LTFM,1720848000,80.6,73.4,78.76,30.0,11.0,0.0,29.8,6.21,11.0,2300.0,CLEAR,85.32
LTFM,1720849800,80.6,71.6,74.11,50.0,12.0,0.0,29.8,6.21,12.0,1200.0,CLEAR,84.57
LIRF,1720855200,84.2,68.0,58.32,210.0,4.0,0.0,29.85,6.21,4.0,100000.0,CLEAR,87.4
LIRF,1720857000,86.0,62.6,45.61,190.0,5.0,0.0,29.85,6.21,5.0,100000.0,CLEAR,86.72
LIRF,1720858800,87.8,62.6,43.07,190.0,7.0,0.0,29.85,6.21,7.0,100000.0,CLEAR,88.48
