station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,vsby,gust,skyc,wxcodes,feel
LTFJ,1703778600,51.8,44.6,76.34,120.0,2.0,0.0,30.3,6.21,2.0,100000.0,CLEAR,51.8
LTFJ,1703780400,51.8,42.8,71.26,0.0,1.0,0.0,30.3,6.21,1.0,100000.0,CLEAR,51.8
LTFJ,1703782200,51.8,44.6,76.34,50.0,5.0,0.0,30.3,6.21,5.0,100000.0,CLEAR,51.8
LTAF,1703782200,55.4,46.4,71.64,0.0,0.0,0.0,30.18,2.05,0.0,100000.0,BR,55.4
LTAF,1703784000,55.4,48.2,76.66,0.0,0.0,0.0,30.18,2.11,0.0,100000.0,BR,55.4
LTAF,1703785800,55.4,48.2,76.66,0.0,2.0,0.0,30.21,2.11,2.0,100000.0,BR,55.4
