station,valid,temp,dewp,feel,relh,drct,sknt,p01i,alti,vsby,gust,skyc,wxcodes,wxrain,wxstorm,wxsnow,wxfog,wxviscinity
LTDA,1735494600,10.0,8.0,10.0,87.37,20.0,11.0,0.0,30.12,3.11,11.0,8000.0,RA BR,3.0,0.0,0.0,2.0,0.0
LTFJ,1735498200,7.0,5.0,3.17,87.09,40.0,13.0,0.0,30.27,6.21,13.0,2100.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFJ,1735500000,7.0,5.0,3.17,87.09,30.0,13.0,0.0,30.27,6.21,13.0,2100.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFJ,1735501800,7.0,5.0,3.55,87.09,30.0,11.0,0.0,30.27,6.21,11.0,2100.0,CLEAR,0.0,0.0,0.0,0.0,0.0
