station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,vsby,gust,skyc,wxcodes,feel
LTFH,1713117000,53.6,46.4,76.5,210.0,2.0,0.0,30.18,6.21,2.0,100000.0,CLEAR,53.6
LTFH,1713120600,51.8,46.4,81.74,190.0,3.0,0.0,30.18,6.21,3.0,100000.0,CLEAR,51.8
LTFJ,1713120600,64.4,46.4,51.98,0.0,1.0,0.0,30.15,6.21,1.0,100000.0,CLEAR,64.4
LTFJ,1713122400,60.8,48.2,63.15,0.0,0.0,0.0,30.15,6.21,0.0,100000.0,CLEAR,60.8
LTFJ,1713124200,59.0,53.6,82.25,250.0,3.0,0.0,30.15,6.21,3.0,100000.0,CLEAR,59.0
