station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,vsby,gust,skyc,wxcodes,feel
LTFJ,1761319200,71.6,59.0,64.52,240.0,12.0,0.0,29.74,6.21,12.0,7000.0,CLEAR,71.6
LTFJ,1761321000,71.6,59.0,64.52,240.0,13.0,0.0,29.74,6.21,23.0,7000.0,CLEAR,71.6
LTFJ,1761322800,71.6,59.0,64.52,240.0,12.0,0.0,29.77,6.21,12.0,7000.0,CLEAR,71.6
LTFJ,1761324600,71.6,59.0,64.52,240.0,14.0,0.0,29.77,6.21,14.0,7000.0,CLEAR,71.6
LTDA,1761324600,73.4,62.6,68.99,230.0,10.0,0.0,29.94,6.21,10.0,100000.0,CLEAR,73.4
LTDA,1761328200,71.6,55.4,56.67,250.0,6.0,0.0,29.94,6.21,6.0,100000.0,CLEAR,71.6
