station,valid,temp,dewp,feel,relh,drct,sknt,p01i,alti,vsby,gust,skyc,wxcodes,wxrain,wxstorm,wxsnow,wxfog,wxviscinity
LFPO,1733661000,8.0,6.0,3.86,87.19,340.0,17.0,0.0,29.74,4.97,17.0,1600.0,-RA,1.5,0.0,0.0,0.0,0.0
LFPO,1733662800,8.0,6.0,3.99,87.19,340.0,16.0,0.0,29.74,4.35,16.0,1900.0,-RA,1.5,0.0,0.0,0.0,0.0
LFPO,1733664600,8.0,6.0,4.14,87.19,340.0,15.0,0.0,29.74,4.35,15.0,1900.0,-RA,1.5,0.0,0.0,0.0,0.0
LTFM,1733673000,12.0,9.0,12.0,81.87,170.0,6.0,0.0,29.91,6.21,6.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFM,1733674800,12.0,9.0,12.0,81.87,170.0,5.0,0.0,29.91,6.21,5.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFM,1733676600,12.0,9.0,12.0,81.87,160.0,5.0,0.0,29.91,6.21,5.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
