station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,vsby,gust,skyc,wxcodes,feel
LTAF,1702815600,71.6,53.6,53.03,0.0,2.0,0.0,30.15,6.21,2.0,100000.0,CLEAR,71.6
LTAF,1702817400,69.8,53.6,56.38,0.0,2.0,0.0,30.15,6.21,2.0,100000.0,CLEAR,69.8
LTAF,1702819200,69.8,53.6,56.38,0.0,1.0,0.0,30.15,6.21,1.0,100000.0,CLEAR,69.8
LTFJ,1702819200,46.4,33.8,61.28,60.0,13.0,0.0,30.59,6.21,13.0,100000.0,CLEAR,40.02
LTFJ,1702821000,46.4,33.8,61.28,50.0,12.0,0.0,30.59,6.21,12.0,100000.0,CLEAR,40.33
LTFJ,1702822800,44.6,33.8,65.61,60.0,11.0,0.0,30.59,6.21,11.0,100000.0,CLEAR,38.39
