station,valid,temp,dewp,feel,relh,drct,sknt,p01i,alti,vsby,gust,skyc,wxcodes,wxrain,wxstorm,wxsnow,wxfog,wxviscinity
LTAC,1715799000,12.0,4.0,12.0,58.02,50.0,6.0,0.0,30.03,6.21,6.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTAC,1715800800,12.0,3.0,12.0,54.07,60.0,8.0,0.0,30.03,6.21,8.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTAC,1715802600,11.0,3.0,11.0,57.77,10.0,7.0,0.0,30.03,6.21,7.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFJ,1715802600,12.0,9.0,12.0,81.87,60.0,9.0,0.0,30.12,6.21,9.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFJ,1715804400,13.0,9.0,13.0,76.66,60.0,9.0,0.0,30.12,6.21,9.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFJ,1715806200,12.0,9.0,12.0,81.87,50.0,8.0,0.0,30.12,6.21,8.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
