station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,vsby,gust,skyc,wxcodes,feel
LTFJ,1711731000,64.4,50.0,59.5,240.0,6.0,0.0,30.06,6.21,6.0,100000.0,CLEAR,64.4
LTFJ,1711732800,62.6,50.0,63.38,230.0,4.0,0.0,30.06,6.21,4.0,100000.0,CLEAR,62.6
LTFJ,1711734600,62.6,50.0,63.38,110.0,3.0,0.0,30.06,6.21,3.0,100000.0,CLEAR,62.6
LTAF,1711734600,68.0,55.4,64.04,0.0,1.0,0.0,29.97,6.21,1.0,100000.0,CLEAR,68.0
LTAF,1711736400,68.0,55.4,64.04,0.0,1.0,0.0,29.97,6.21,1.0,100000.0,CLEAR,68.0
LTAF,1711738200,66.2,55.4,68.15,0.0,0.0,0.0,30.0,6.21,0.0,100000.0,CLEAR,66.2
