station,valid,temp,dewp,feel,relh,drct,sknt,p01i,alti,vsby,gust,skyc,wxcodes,wxrain,wxstorm,wxsnow,wxfog,wxviscinity
LTFM,1752092400,29.0,14.0,28.6,39.93,260.0,9.0,0.0,29.68,6.21,9.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFM,1752094200,26.0,19.0,26.0,65.39,330.0,20.0,0.0,29.71,6.21,20.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFM,1752096000,25.0,18.0,25.0,65.17,340.0,21.0,0.0,29.74,6.21,21.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTDB,1752097800,26.0,24.0,26.0,88.78,140.0,2.0,0.0,29.68,6.21,2.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTDB,1752099600,26.0,24.0,26.0,88.78,0.0,2.0,0.0,29.68,6.21,2.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTDB,1752101400,26.0,24.0,26.0,88.78,100.0,3.0,0.0,29.65,6.21,3.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
