station,valid,temp,dewp,feel,relh,drct,sknt,p01i,alti,vsby,gust,skyc,wxcodes,wxrain,wxstorm,wxsnow,wxfog,wxviscinity
EFHK,1737885000,4.0,2.0,-0.24,86.79,210.0,11.0,0.0,29.62,6.21,11.0,1900.0,CLEAR,0.0,0.0,0.0,0.0,0.0
EFHK,1737886800,4.0,2.0,0.0,86.79,200.0,10.0,0.0,29.65,6.21,10.0,2000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFM,1737897600,9.0,6.0,6.71,81.47,70.0,8.0,0.0,30.24,6.21,8.0,1300.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFM,1737899400,9.0,6.0,6.48,81.47,90.0,9.0,0.0,30.24,6.21,9.0,1100.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFM,1737901200,9.0,7.0,6.96,87.28,90.0,7.0,0.0,30.24,6.21,7.0,1100.0,CLEAR,0.0,0.0,0.0,0.0,0.0
