station,valid,temp,dewp,feel,relh,drct,sknt,p01i,alti,vsby,gust,skyc,wxcodes,wxrain,wxstorm,wxsnow,wxfog,wxviscinity
LTFJ,1702659000,10.0,9.0,10.0,93.5,60.0,16.0,0.0,30.15,6.21,16.0,600.0,-SHRA,0.5,0.0,0.0,0.0,0.0
LTFJ,1702660800,10.0,9.0,10.0,93.5,50.0,16.0,0.0,30.15,6.21,16.0,500.0,-SHRA,0.5,0.0,0.0,0.0,0.0
LTFJ,1702662600,10.0,9.0,10.0,93.5,60.0,16.0,0.0,30.15,6.21,16.0,500.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFJ,1702664400,10.0,9.0,10.0,93.5,60.0,16.0,0.0,30.15,6.21,16.0,500.0,-SHRA,0.5,0.0,0.0,0.0,0.0
LTAF,1702664400,14.0,12.0,14.0,87.74,30.0,3.0,0.0,30.21,1.74,3.0,100000.0,BR,0.0,0.0,0.0,2.0,0.0
LTAF,1702666200,15.0,12.0,15.0,82.25,10.0,4.0,0.0,30.21,2.49,4.0,100000.0,BR,0.0,0.0,0.0,2.0,0.0
LTAF,1702668000,15.0,12.0,15.0,82.25,10.0,4.0,0.0,30.21,2.98,4.0,100000.0,BR,0.0,0.0,0.0,2.0,0.0
