station,valid,temp,dewp,feel,relh,drct,sknt,p01i,alti,vsby,gust,skyc,wxcodes,wxrain,wxstorm,wxsnow,wxfog,wxviscinity
LTFJ,1718031000,30.0,19.0,31.33,51.72,60.0,9.0,0.0,29.83,6.21,9.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFJ,1718032800,30.0,17.0,30.4,45.61,60.0,10.0,0.0,29.83,6.21,10.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFJ,1718034600,29.0,18.0,29.84,51.47,60.0,10.0,0.0,29.83,6.21,10.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTAF,1718036400,29.0,19.0,30.28,54.8,210.0,6.0,0.0,29.71,6.21,6.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTAF,1718038200,28.0,19.0,29.24,58.08,200.0,5.0,0.0,29.74,6.21,5.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
