station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,vsby,gust,skyc,wxcodes,feel
ESSA,1737615000,32.0,32.0,100.0,100.0,4.0,0.0,29.68,1.86,4.0,300.0,-RADZ,27.42
ESSA,1737616800,33.8,33.8,100.0,130.0,4.0,0.0,29.68,1.55,4.0,100000.0,-RADZ BR,29.52
ESSA,1737618600,35.6,33.8,93.08,140.0,5.0,0.0,29.68,3.11,5.0,100000.0,-DZ,30.67
EFHK,1737616800,35.6,35.6,100.0,210.0,6.0,0.0,29.77,2.49,6.0,400.0,-DZ BR,29.87
EFHK,1737618600,35.6,35.6,100.0,200.0,7.0,0.0,29.77,2.49,7.0,300.0,-DZ BR,29.17
EFHK,1737620400,35.6,35.6,100.0,210.0,9.0,0.0,29.77,2.49,9.0,300.0,-DZ BR,27.99
