station,valid,temp,dewp,feel,relh,drct,sknt,p01i,alti,vsby,gust,skyc,wxcodes,wxrain,wxstorm,wxsnow,wxfog,wxviscinity
ENTC,1737364800,-9.0,-11.0,-12.13,85.4,90.0,3.0,0.0,30.39,6.21,3.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
ENTC,1737366600,-9.0,-11.0,-13.06,85.4,100.0,4.0,0.0,30.42,6.21,4.0,100000.0,VCSH,0.0,0.0,0.0,0.0,0.0
ENTC,1737368400,-10.0,-12.0,-13.27,85.28,0.0,3.0,0.0,30.42,6.21,3.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
ESSA,1737370200,-1.0,-1.0,-4.8,100.0,80.0,6.0,0.0,30.21,0.28,6.0,100000.0,FZFG,0.0,0.0,0.0,3.0,0.0
ESSA,1737372000,-1.0,-1.0,-4.3,100.0,120.0,5.0,0.0,30.21,0.19,5.0,100000.0,FZFG,0.0,0.0,0.0,3.0,0.0
ESSA,1737373800,0.0,0.0,-2.54,100.0,100.0,4.0,0.0,30.21,0.19,4.0,100000.0,FG,0.0,0.0,0.0,3.0,0.0
