station,valid,temp,dewp,feel,relh,drct,sknt,p01i,alti,vsby,gust,skyc,wxcodes,wxrain,wxstorm,wxsnow,wxfog,wxviscinity
LTDA,1747648200,28.0,13.0,27.64,39.65,210.0,24.0,0.0,29.91,6.21,24.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTDA,1747651800,28.0,14.0,27.83,42.32,210.0,25.0,0.0,29.91,6.21,25.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFJ,1747650000,21.0,7.0,21.0,40.31,260.0,9.0,0.0,30.09,6.21,9.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFJ,1747651800,22.0,8.0,22.0,40.6,240.0,10.0,0.0,30.06,6.21,10.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFJ,1747653600,22.0,8.0,22.0,40.6,270.0,10.0,0.0,30.06,6.21,10.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFJ,1747655400,22.0,8.0,22.0,40.6,250.0,11.0,0.0,30.06,6.21,11.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFJ,1747657200,22.0,7.0,22.0,37.92,270.0,10.0,0.0,30.06,6.21,10.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
