station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,vsby,gust,skyc,wxcodes,feel
LTFJ,1712503200,60.8,41.0,48.0,60.0,20.0,0.0,30.03,6.21,20.0,10000.0,CLEAR,60.8
LTFJ,1712505000,59.0,42.8,54.86,60.0,18.0,0.0,30.06,6.21,18.0,100000.0,CLEAR,59.0
LTFJ,1712506800,57.2,42.8,58.52,60.0,17.0,0.0,30.06,6.21,17.0,100000.0,CLEAR,57.2
LTFH,1712508600,50.0,46.4,87.37,310.0,5.0,0.0,30.06,6.21,5.0,100000.0,CLEAR,50.0
