station,valid,temp,dewp,feel,relh,drct,sknt,p01i,alti,vsby,gust,skyc,wxcodes,wxrain,wxstorm,wxsnow,wxfog,wxviscinity
LTFJ,1734704400,14.0,4.0,14.0,50.91,190.0,5.0,0.0,29.85,6.21,5.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFJ,1734706200,13.0,4.0,13.0,54.34,190.0,3.0,0.0,29.85,6.21,3.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFJ,1734708000,12.0,4.0,12.0,58.02,0.0,2.0,0.0,29.85,6.21,2.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFJ,1734709800,12.0,3.0,12.0,54.07,230.0,3.0,0.0,29.85,6.21,3.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTDA,1734709800,10.0,2.0,10.0,57.52,300.0,4.0,0.0,30.03,6.21,4.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTDA,1734713400,8.0,1.0,6.8,61.28,320.0,4.0,0.0,30.06,6.21,4.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
