station,valid,temp,dewp,feel,relh,drct,sknt,p01i,alti,vsby,gust,skyc,wxcodes,wxrain,wxstorm,wxsnow,wxfog,wxviscinity
LTAF,1704118800,16.0,10.0,16.0,67.54,220.0,2.0,0.0,30.12,6.21,2.0,18000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTAF,1704120600,15.0,10.0,15.0,72.01,0.0,1.0,0.0,30.12,6.21,1.0,18000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTAF,1704122400,14.0,10.0,14.0,76.82,340.0,3.0,0.0,30.12,1.93,3.0,18000.0,BR,0.0,0.0,0.0,2.0,0.0
LTAF,1704124200,14.0,10.0,14.0,76.82,0.0,0.0,0.0,30.12,1.93,0.0,18000.0,BR,0.0,0.0,0.0,2.0,0.0
LTFJ,1704127800,13.0,7.0,13.0,66.91,230.0,6.0,0.0,29.97,6.21,6.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFJ,1704129600,13.0,8.0,13.0,71.64,240.0,4.0,0.0,30.0,6.21,4.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFJ,1704131400,13.0,8.0,13.0,71.64,230.0,7.0,0.0,30.0,6.21,7.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
