station,valid,temp,dewp,feel,relh,drct,sknt,p01i,alti,vsby,gust,skyc,wxcodes,wxrain,wxstorm,wxsnow,wxfog,wxviscinity
LTDA,1730217000,18.0,-2.0,18.0,25.6,310.0,4.0,0.0,29.91,6.21,4.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTDA,1730220600,18.0,-4.0,18.0,22.06,300.0,3.0,0.0,29.91,6.21,3.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFJ,1730222400,15.0,13.0,15.0,87.83,30.0,8.0,0.0,30.21,6.21,8.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFJ,1730224200,15.0,13.0,15.0,87.83,60.0,7.0,0.0,30.21,6.21,7.0,2500.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFJ,1730226000,15.0,13.0,15.0,87.83,50.0,7.0,0.0,30.21,6.21,7.0,2500.0,CLEAR,0.0,0.0,0.0,0.0,0.0
