station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,vsby,gust,skyc,wxcodes,feel
LTFM,1733498400,51.8,48.2,87.47,90.0,5.0,0.0,30.12,6.21,5.0,100000.0,CLEAR,51.8
LTFM,1733500200,51.8,46.4,81.74,130.0,4.0,0.0,30.12,6.21,4.0,100000.0,CLEAR,51.8
LFPO,1733509800,46.4,41.0,81.34,180.0,6.0,0.0,30.15,6.21,6.0,100000.0,CLEAR,42.87
LFPO,1733511600,46.4,41.0,81.34,180.0,6.0,0.0,30.12,6.21,6.0,100000.0,CLEAR,42.87
LFPO,1733513400,46.4,41.0,81.34,200.0,8.0,0.0,30.12,6.21,8.0,100000.0,CLEAR,41.85
