station,valid,temp,dewp,feel,relh,drct,sknt,p01i,alti,vsby,gust,skyc,wxcodes,wxrain,wxstorm,wxsnow,wxfog,wxviscinity
LTAF,1707747600,20.0,8.0,20.0,45.88,50.0,5.0,0.0,30.03,6.21,5.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTAF,1707749400,18.0,9.0,18.0,55.63,40.0,4.0,0.0,30.03,6.21,4.0,100000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTAF,1707751200,19.0,8.0,19.0,48.83,20.0,5.0,0.0,30.03,2.92,5.0,100000.0,HZ,0.0,0.0,0.0,1.0,0.0
LTFJ,1707751200,12.0,7.0,12.0,71.45,270.0,13.0,0.0,29.83,6.21,13.0,8000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFJ,1707753000,11.0,7.0,11.0,76.34,270.0,14.0,0.0,29.83,6.21,14.0,8000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
LTFJ,1707754800,11.0,7.0,11.0,76.34,240.0,8.0,0.0,29.85,6.21,8.0,8000.0,CLEAR,0.0,0.0,0.0,0.0,0.0
